COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,result
one,43275,123,62,834120,209,24,1,very_unsat,little,considering,LEAVE
one,128957,239,9,220500,887,11,6,very_unsat,little,considering,LEAVE
one,151311,0,0,294544,820,0,14,very_sat,very_high,considering,LEAVE
one,28828,40,7,304297,190,5,6,very_sat,very_little,no,LEAVE
one,71202,184,22,561409,290,20,5,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,69417,52,88,686029,331,3,2,very_unsat,little,actively_looking_into_it,LEAVE
zero,100623,63,5,788597,710,1,4,very_unsat,little,considering,LEAVE
zero,75128,231,0,299823,329,11,11,very_sat,very_high,considering,LEAVE
one,48362,61,85,491920,246,3,1,very_sat,high,no,LEAVE
zero,150630,217,13,941505,652,11,4,very_unsat,high,never_thought,LEAVE
zero,127876,34,82,212090,427,3,1,unsat,high,considering,LEAVE
one,57022,75,15,262863,374,4,5,unsat,little,no,LEAVE
zero,59588,78,0,858419,267,4,13,unsat,little,perhaps,LEAVE
zero,157765,26,89,902948,686,4,2,very_sat,little,considering,LEAVE
one,60781,193,32,378274,333,27,1,unsat,little,never_thought,LEAVE
zero,45333,74,0,580815,199,5,6,avg,little,actively_looking_into_it,LEAVE
one,89711,0,0,394683,357,0,10,very_unsat,very_high,considering,LEAVE
zero,76071,0,74,959609,323,0,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,127290,235,16,266227,873,20,2,very_unsat,little,actively_looking_into_it,LEAVE
zero,31122,55,54,175259,273,3,1,very_sat,high,never_thought,LEAVE
one,146338,76,18,910072,448,3,6,very_sat,very_little,considering,LEAVE
zero,125384,61,41,782532,537,3,2,very_sat,little,considering,LEAVE
zero,118797,220,0,398173,683,18,2,very_unsat,little,considering,LEAVE
one,88703,0,43,362851,257,0,2,unsat,very_high,never_thought,LEAVE
zero,113223,0,0,450811,792,0,9,very_sat,very_high,actively_looking_into_it,LEAVE
one,121750,66,58,233286,603,4,1,very_unsat,very_little,considering,LEAVE
one,129382,0,0,410641,740,1,11,unsat,little,considering,LEAVE
zero,123879,184,23,946813,740,14,4,very_unsat,very_high,no,LEAVE
zero,142055,226,56,278019,587,12,2,very_sat,little,no,LEAVE
one,31007,179,0,324768,187,17,14,very_sat,very_high,considering,LEAVE
one,78281,236,0,460967,344,24,9,very_sat,very_high,considering,LEAVE
one,118726,211,0,283461,213,18,11,very_unsat,little,never_thought,LEAVE
zero,40780,209,18,680403,150,22,5,very_sat,high,actively_looking_into_it,LEAVE
zero,147808,39,29,550047,549,4,1,unsat,little,considering,LEAVE
one,104269,70,0,501302,489,5,11,very_unsat,little,considering,LEAVE
one,28547,57,87,453647,396,4,1,unsat,very_little,never_thought,LEAVE
one,77869,174,20,353722,340,10,4,very_sat,very_high,considering,LEAVE
one,39398,85,29,797879,135,3,2,sat,little,considering,LEAVE
one,154608,0,0,239443,811,1,14,unsat,little,considering,LEAVE
one,153285,58,47,556983,613,4,1,very_unsat,very_high,considering,LEAVE
one,124164,33,15,529346,432,3,4,very_unsat,very_little,actively_looking_into_it,LEAVE
one,37738,0,10,592910,138,1,5,very_unsat,very_little,considering,LEAVE
one,24418,0,70,385571,150,1,2,unsat,little,considering,LEAVE
zero,153361,192,0,543792,584,29,12,very_sat,little,considering,LEAVE
one,153784,158,73,762014,784,15,2,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,33445,182,84,201373,155,10,2,very_unsat,high,no,LEAVE
one,90339,180,0,274951,272,14,10,very_unsat,very_little,actively_looking_into_it,LEAVE
zero,36617,217,27,394446,200,25,1,very_sat,little,considering,LEAVE
zero,46441,0,0,508009,200,1,15,very_unsat,very_little,no,LEAVE
zero,144896,184,53,455342,806,13,1,very_unsat,high,perhaps,LEAVE
one,23124,69,6,916261,198,5,6,very_sat,very_high,considering,LEAVE
zero,98580,238,0,327032,369,16,12,very_unsat,very_high,considering,LEAVE
one,43178,42,47,287907,155,0,8,sat,little,considering,LEAVE
one,100196,227,0,541122,757,15,11,avg,little,no,LEAVE
one,27707,53,15,409773,170,4,5,very_sat,little,no,LEAVE
one,40650,245,0,266920,243,24,14,very_unsat,little,considering,LEAVE
zero,85716,202,0,419080,357,26,11,very_unsat,high,no,LEAVE
zero,83479,219,18,531628,323,28,4,unsat,little,considering,LEAVE
zero,134751,204,36,761322,683,11,1,very_sat,little,actively_looking_into_it,LEAVE
one,57711,61,0,208138,313,3,12,avg,very_high,considering,LEAVE
one,133417,210,0,166004,729,28,12,very_unsat,very_little,considering,LEAVE
zero,146435,186,23,479834,731,13,4,very_unsat,very_little,never_thought,LEAVE
one,138787,209,17,259506,881,20,5,very_unsat,little,no,LEAVE
one,68702,53,86,789745,382,4,1,very_unsat,little,considering,LEAVE
zero,144464,161,63,273108,806,12,1,very_unsat,very_little,actively_looking_into_it,LEAVE
one,20818,185,17,541229,197,14,4,very_unsat,little,actively_looking_into_it,LEAVE
zero,22303,0,67,477464,227,1,1,very_sat,little,actively_looking_into_it,LEAVE
one,84470,28,14,476373,137,3,2,very_unsat,very_high,no,LEAVE
one,50815,43,9,275620,358,24,6,very_unsat,very_little,never_thought,LEAVE
one,109007,63,11,518640,669,3,5,very_sat,very_high,perhaps,LEAVE
zero,110585,198,23,323935,779,28,2,very_unsat,avg,no,LEAVE
zero,124120,197,0,159920,685,0,14,avg,little,no,LEAVE
one,42013,31,16,226047,142,4,6,very_unsat,little,no,LEAVE
one,99867,261,0,298807,359,10,9,avg,little,considering,LEAVE
one,77029,77,32,152254,312,5,1,unsat,little,considering,LEAVE
one,131181,195,0,798676,714,15,6,very_unsat,little,considering,LEAVE
zero,83700,0,0,414747,380,1,15,very_unsat,very_high,perhaps,LEAVE
one,25522,0,9,428371,209,0,6,very_unsat,little,considering,LEAVE
one,62412,0,0,307866,287,1,9,very_sat,very_high,considering,LEAVE
zero,116566,177,0,283892,454,10,14,unsat,little,considering,LEAVE
zero,96032,0,0,664453,352,1,10,unsat,little,considering,LEAVE
zero,49730,0,50,239403,243,0,2,unsat,little,no,LEAVE
one,147695,219,0,482049,826,24,12,avg,very_high,no,LEAVE
zero,23578,203,25,557182,205,10,1,unsat,very_high,actively_looking_into_it,LEAVE
one,111439,0,0,210604,586,5,11,very_unsat,very_high,perhaps,LEAVE
zero,151933,69,13,721580,758,4,5,unsat,little,no,LEAVE
zero,20878,187,0,412984,246,12,11,very_unsat,little,considering,LEAVE
zero,150278,0,52,276132,897,0,1,very_unsat,avg,actively_looking_into_it,LEAVE
one,42927,0,33,464511,177,1,1,very_unsat,very_high,no,LEAVE
zero,96053,0,24,316675,264,0,4,very_sat,very_high,considering,LEAVE
one,22994,157,69,453359,230,13,1,very_unsat,very_little,actively_looking_into_it,LEAVE
one,122907,257,0,355074,889,1,8,very_unsat,avg,considering,LEAVE
zero,98693,207,80,279919,376,27,1,very_sat,very_high,no,LEAVE
zero,58740,44,0,202764,397,29,2,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,106893,231,6,189574,515,0,5,very_sat,little,actively_looking_into_it,LEAVE
zero,109682,0,49,990602,207,1,4,avg,avg,never_thought,LEAVE
zero,156314,52,12,699627,455,3,6,avg,little,no,LEAVE
one,53333,218,24,338357,257,16,5,very_unsat,little,considering,LEAVE
zero,32070,65,36,202318,245,3,1,very_unsat,high,considering,LEAVE
zero,158780,217,76,917194,736,3,2,unsat,very_high,considering,LEAVE
one,23999,70,88,491960,212,3,1,very_sat,little,considering,LEAVE
zero,46363,156,24,300209,138,5,4,very_sat,high,considering,LEAVE
one,76122,229,57,485252,384,12,1,very_sat,very_high,no,LEAVE
zero,94394,63,0,155710,319,5,15,very_unsat,very_high,considering,LEAVE
zero,130276,0,82,167431,763,1,1,very_unsat,little,actively_looking_into_it,LEAVE
one,98180,0,28,224305,310,1,1,very_unsat,very_high,considering,LEAVE
one,113174,199,9,405590,639,29,6,very_unsat,little,considering,LEAVE
one,39019,167,12,157947,247,15,4,very_unsat,very_little,considering,LEAVE
zero,32298,32,0,296967,197,4,4,very_unsat,high,considering,LEAVE
one,66744,209,27,160319,375,23,6,unsat,avg,no,LEAVE
one,27619,69,0,751375,164,5,9,very_sat,very_high,considering,LEAVE
zero,158633,58,0,286878,793,5,15,unsat,high,actively_looking_into_it,LEAVE
zero,96109,60,15,239569,281,5,5,sat,avg,no,LEAVE
one,70927,168,0,477252,277,24,8,very_unsat,very_high,never_thought,LEAVE
zero,97507,217,44,531121,289,15,2,very_sat,little,actively_looking_into_it,LEAVE
zero,60484,0,51,445238,330,0,1,very_unsat,little,actively_looking_into_it,LEAVE
one,131788,0,0,555724,507,22,10,very_sat,very_high,actively_looking_into_it,LEAVE
one,25878,224,0,216066,199,25,13,very_sat,little,considering,LEAVE
zero,62852,0,57,193001,341,1,1,very_unsat,little,actively_looking_into_it,LEAVE
one,35343,0,22,718459,182,1,5,very_sat,very_little,actively_looking_into_it,LEAVE
one,155919,163,22,468439,630,19,5,avg,little,no,LEAVE
one,133914,195,42,834988,613,19,2,very_unsat,high,actively_looking_into_it,LEAVE
zero,110132,71,74,813929,835,5,1,very_sat,little,no,LEAVE
one,122419,243,80,742918,424,5,2,unsat,avg,no,LEAVE
zero,151932,0,41,377643,610,3,2,very_unsat,little,actively_looking_into_it,LEAVE
one,88888,35,0,275588,360,5,8,unsat,high,considering,LEAVE
zero,29044,52,19,175127,213,5,5,unsat,very_little,no,LEAVE
one,23684,161,0,663926,181,29,12,unsat,little,considering,LEAVE
zero,105192,73,23,377586,738,5,6,avg,very_little,never_thought,LEAVE
zero,133869,0,74,187090,222,0,1,very_sat,very_high,actively_looking_into_it,LEAVE
one,136529,0,0,185265,793,0,9,unsat,very_little,never_thought,LEAVE
zero,148492,0,78,264406,445,1,1,very_unsat,very_little,no,LEAVE
zero,21270,0,0,217530,217,3,13,unsat,high,perhaps,LEAVE
zero,52873,0,53,492791,352,4,1,unsat,little,no,LEAVE
zero,28368,232,38,483698,191,13,2,sat,very_little,considering,LEAVE
zero,30894,68,5,402878,199,5,6,very_sat,very_little,perhaps,LEAVE
one,28966,163,73,264956,150,24,1,very_sat,little,no,LEAVE
one,47645,80,0,958522,148,4,5,very_unsat,very_high,considering,LEAVE
zero,26958,201,46,523797,222,11,2,very_sat,very_little,actively_looking_into_it,LEAVE
zero,118939,221,0,156452,723,10,9,very_unsat,little,considering,LEAVE
zero,69704,0,0,551878,387,0,10,unsat,little,no,LEAVE
zero,48246,233,77,255645,235,1,1,very_sat,little,no,LEAVE
zero,151077,204,8,206887,442,0,5,very_sat,very_little,considering,LEAVE
one,44952,0,0,572146,334,1,10,very_sat,little,considering,LEAVE
zero,104239,0,0,439244,635,0,15,avg,high,perhaps,LEAVE
zero,128501,264,0,234804,443,24,1,very_unsat,little,no,LEAVE
one,149130,191,0,744639,664,25,8,very_sat,little,considering,LEAVE
one,112753,74,18,958752,806,3,4,unsat,high,no,LEAVE
zero,38052,0,77,521639,234,0,2,very_sat,little,considering,LEAVE
zero,32323,53,5,813402,144,3,1,very_unsat,very_high,actively_looking_into_it,LEAVE
one,145731,68,0,368446,749,3,11,very_unsat,avg,actively_looking_into_it,LEAVE
zero,93359,202,13,401367,261,23,4,unsat,very_high,considering,LEAVE
one,100908,204,88,964159,772,28,2,sat,little,no,LEAVE
one,143850,52,10,284597,658,5,5,unsat,little,no,LEAVE
zero,143696,231,15,638526,720,16,6,very_unsat,very_little,perhaps,LEAVE
zero,120331,238,27,256742,706,12,1,very_unsat,very_little,actively_looking_into_it,LEAVE
one,119894,189,0,275896,630,11,9,very_sat,little,considering,LEAVE
zero,74748,71,0,269872,364,4,10,very_sat,little,no,LEAVE
zero,109254,184,0,599733,861,14,13,unsat,little,considering,LEAVE
zero,23157,47,85,982795,132,3,1,very_sat,very_little,considering,LEAVE
one,35483,0,22,810900,142,1,5,very_sat,little,actively_looking_into_it,LEAVE
one,21828,188,87,801794,132,4,1,avg,very_high,considering,LEAVE
zero,126718,61,0,343847,492,4,12,unsat,very_high,actively_looking_into_it,LEAVE
zero,36580,0,63,349872,161,0,1,very_unsat,little,considering,LEAVE
one,142221,233,69,160194,847,10,1,avg,little,considering,LEAVE
zero,40749,0,0,573932,242,0,14,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,66638,179,51,206487,325,27,1,very_unsat,very_high,considering,LEAVE
zero,154434,44,46,760193,674,4,2,very_sat,very_high,considering,LEAVE
one,135093,38,20,610457,609,3,5,very_sat,little,no,LEAVE
zero,83525,246,53,308636,271,27,1,unsat,very_high,no,LEAVE
one,112640,222,34,957660,466,18,1,avg,little,actively_looking_into_it,LEAVE
one,42901,66,0,452655,215,5,12,unsat,high,no,LEAVE
one,158485,0,66,560906,532,0,2,sat,very_little,no,LEAVE
one,102286,183,0,469981,525,14,13,unsat,little,perhaps,LEAVE
zero,78750,191,20,242577,292,28,5,very_unsat,avg,no,LEAVE
one,23372,55,0,686560,211,3,13,very_unsat,very_little,considering,LEAVE
one,44853,0,82,300038,795,13,2,very_sat,very_high,never_thought,LEAVE
zero,66147,0,0,323187,321,1,13,unsat,very_high,considering,LEAVE
zero,81843,226,22,364778,379,11,5,sat,very_little,considering,LEAVE
zero,106655,177,48,446254,706,16,1,very_unsat,little,actively_looking_into_it,LEAVE
zero,88650,0,0,277232,350,0,9,very_sat,little,considering,LEAVE
zero,115579,59,69,939873,454,28,1,very_sat,very_little,considering,LEAVE
zero,37785,203,0,262475,184,12,11,very_sat,very_little,actively_looking_into_it,LEAVE
zero,22294,260,51,847213,242,14,5,very_unsat,little,actively_looking_into_it,LEAVE
one,44611,56,13,185715,202,3,5,sat,little,actively_looking_into_it,LEAVE
one,45794,65,0,267794,194,3,2,very_unsat,very_high,considering,LEAVE
zero,150046,193,13,550588,517,17,4,very_unsat,very_high,no,LEAVE
zero,41938,195,0,243128,213,15,11,unsat,very_high,actively_looking_into_it,LEAVE
one,21220,70,24,362960,148,3,4,unsat,little,actively_looking_into_it,LEAVE
zero,87946,165,6,393669,367,20,4,very_unsat,very_little,considering,LEAVE
one,32950,179,0,439456,217,14,4,very_unsat,very_high,perhaps,LEAVE
one,36838,237,0,244398,212,16,12,avg,little,actively_looking_into_it,LEAVE
one,109808,170,0,192820,465,15,10,very_sat,little,no,LEAVE
zero,31181,151,10,415951,198,28,4,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,151395,0,0,815864,751,5,13,unsat,little,no,LEAVE
zero,83347,57,10,443309,263,4,5,very_sat,little,never_thought,LEAVE
one,88819,170,10,329735,278,25,5,very_unsat,very_high,considering,LEAVE
zero,76843,47,75,668033,369,3,2,very_sat,very_little,actively_looking_into_it,LEAVE
zero,139882,196,24,776070,708,16,6,very_unsat,very_high,considering,LEAVE
one,98591,209,21,404095,327,16,4,unsat,very_little,no,LEAVE
one,67347,74,9,337572,344,5,6,avg,very_high,no,LEAVE
one,55696,61,43,950707,362,4,2,very_unsat,very_high,actively_looking_into_it,LEAVE
one,136465,167,0,761473,619,5,14,unsat,little,considering,LEAVE
zero,27089,52,56,281950,184,3,14,very_unsat,very_high,actively_looking_into_it,LEAVE
zero,47451,166,17,282251,381,12,1,unsat,little,no,LEAVE
zero,40218,241,49,353968,243,14,1,very_sat,little,never_thought,LEAVE
one,63168,156,17,212695,321,13,4,sat,little,actively_looking_into_it,LEAVE
zero,95589,221,14,333835,351,4,8,sat,very_high,no,LEAVE
one,93375,206,30,417554,302,13,1,avg,little,no,LEAVE
one,130426,60,61,999018,223,28,1,avg,very_little,perhaps,LEAVE
one,157487,71,9,180068,578,3,5,very_unsat,very_high,perhaps,LEAVE
one,24002,39,0,598104,168,5,12,very_unsat,very_high,actively_looking_into_it,LEAVE
one,90259,41,14,959818,388,3,5,unsat,very_little,never_thought,LEAVE
zero,58077,0,0,771108,352,0,11,very_unsat,high,considering,LEAVE
zero,36979,0,69,977095,554,0,2,very_unsat,very_little,considering,LEAVE
one,104705,0,7,281334,735,0,2,unsat,very_little,considering,LEAVE
one,117911,213,17,290514,515,12,2,very_unsat,little,no,LEAVE
zero,87906,0,0,288091,345,1,14,unsat,avg,never_thought,LEAVE
zero,150073,28,0,332070,812,5,11,unsat,avg,considering,LEAVE
one,29288,0,82,424099,199,0,1,unsat,high,considering,LEAVE
one,138724,56,0,216355,720,3,10,very_sat,little,considering,LEAVE
zero,68167,0,78,153145,262,1,2,unsat,little,considering,LEAVE
one,142422,179,13,579963,773,28,5,very_sat,very_high,perhaps,LEAVE
zero,36846,53,29,540583,201,4,2,very_unsat,very_high,actively_looking_into_it,LEAVE
one,33177,0,49,863894,213,1,1,very_unsat,little,perhaps,LEAVE
one,33227,200,16,484373,228,27,6,very_unsat,little,actively_looking_into_it,LEAVE
zero,81265,158,8,410502,276,25,5,very_sat,very_high,perhaps,LEAVE
zero,138478,61,0,156603,588,4,13,very_unsat,little,considering,LEAVE
zero,51083,24,0,197681,282,4,9,very_sat,little,considering,LEAVE
zero,63407,90,0,215904,384,4,13,unsat,very_high,actively_looking_into_it,LEAVE
zero,44069,69,13,190811,190,3,4,very_unsat,high,actively_looking_into_it,LEAVE
zero,132005,62,36,499877,561,3,2,unsat,very_little,no,LEAVE
one,127455,76,18,570866,602,3,5,avg,avg,never_thought,LEAVE
one,25203,45,59,576847,168,0,2,very_unsat,very_high,actively_looking_into_it,LEAVE
one,138517,67,7,233892,667,5,4,avg,avg,actively_looking_into_it,LEAVE
one,134790,205,9,366161,546,20,4,very_unsat,high,actively_looking_into_it,LEAVE
zero,30252,85,13,879382,209,3,14,very_sat,avg,considering,LEAVE
one,33623,62,5,558915,231,3,5,unsat,little,considering,LEAVE
zero,60483,80,16,399286,269,5,5,very_unsat,very_little,considering,LEAVE
one,84440,175,20,833991,275,29,4,unsat,very_high,actively_looking_into_it,LEAVE
zero,64270,237,17,552326,273,10,6,very_unsat,little,no,LEAVE
zero,148343,215,0,726841,171,18,15,very_sat,little,considering,LEAVE
